Anläggningsår,Area,CHANGE_DATE,CID,CREATE_DATE,FEATURE_TYPE_OBJECT_ID,FEATURE_TYPE_VERSION_ID,Huvudman,ID,MAIN_ATTRIBUTE_DESCRIPTION,MAIN_ATTRIBUTE_VALUE,OBJECT_ID,VALID_FROM,VALID_TO,VERSION_ID,fid,FEATURE_TYPE_NAME,lon,lat,CHANGE_DATE_fmt,CREATE_DATE_fmt
,4828.314,202005130505.0,1738443202243896.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384432,202005130505.0,,1,1,Hundrastgård,18.12568093466059,59.27101455184031,,
,982.746,202005130507.0,1738447502243939.0,202005130507.0,17314453,1,SdF,Ekhagen,SdF,SdF,17384475,202005130507.0,,1,2,Hundrastgård,18.05687643065867,59.37012809438887,,
,950.42,202005130506.0,1738445702243921.0,202005130506.0,17314453,1,SdF,Hundrastgård Sjösavägen,SdF,SdF,17384457,202005130506.0,,1,3,Hundrastgård,18.045433199189084,59.2669308485977,,
2011.0,997.487,202005130505.0,1738442902243893.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384429,202005130505.0,,1,4,Hundrastgård,18.081647339553687,59.26026530877169,,
2018.0,200.337,202203180505.0,1738442103296701.0,202005130505.0,17314453,1,SdF,"HRG 2 Blackeberg, Blackebergsbacken 60",SdF,SdF,17384421,202005130505.0,,1,5,Hundrastgård,17.87758235751654,59.34379287469174,,
,976.18,202005130505.0,1738441902243883.0,202005130505.0,17314453,1,SdF,Turingevägens hundrastgård,SdF,SdF,17384419,202005130505.0,,1,6,Hundrastgård,18.01756951933489,59.27092647863587,,
2013.0,629.34,202005130505.0,1738443002243894.0,202005130505.0,17314453,1,SdF,Bredängs hundrastgård ,SdF,SdF,17384430,202005130505.0,,1,7,Hundrastgård,17.919998512760596,59.29511329367395,,
,1670.721,202206110505.0,1738443403391360.0,202005130505.0,17314453,1,SdF,"HRG 4 Nockebyhov, Judarskogen Bergslagsv",SdF,SdF,17384434,202005130505.0,,1,8,Hundrastgård,17.917546712641002,59.34180984507954,,
,602.084,202005130506.0,1738446502243929.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384465,202005130506.0,,1,9,Hundrastgård,17.92170295807014,59.40605319896125,,
2019.0,2070.859,202012160505.0,1787953402633327.0,202010290505.0,17314453,1,SdF,Lunda hund,SdF,SdF,17879534,202010290505.0,,1,10,Hundrastgård,17.87647460768936,59.38715814269985,,
,314.608,202111030505.0,1912184303129586.0,202111030505.0,17314453,1,SdF,-1,SdF,SdF,19121843,202111030505.0,,1,11,Hundrastgård,18.070716679487703,59.297198006703034,,
,1816.184,202005130507.0,1738446802243932.0,202005130507.0,17314453,1,SdF,,SdF,SdF,17384468,202005130507.0,,1,12,Hundrastgård,17.935162339979193,59.3967658530295,,
2016.0,982.209,202005130507.0,1738447602243940.0,202005130507.0,17314453,1,SdF,,SdF,SdF,17384476,202005130507.0,,1,13,Hundrastgård,17.920585330795053,59.29514868544121,,
,1576.262,202111120505.0,1738444103140769.0,202005130506.0,17314453,1,SdF,Hundrastgård Blåsutvägen,SdF,SdF,17384441,202005130506.0,,1,14,Hundrastgård,18.091209802793838,59.29237709391309,,
,1717.078,202005260505.0,1740551302258168.0,202005260505.0,17314453,1,SdF,,SdF,SdF,17405513,202005260505.0,,1,15,Hundrastgård,17.859249289292624,59.364252999829354,,
,830.733,202005130505.0,1738441502243879.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384415,202005130505.0,,1,16,Hundrastgård,18.106782158437014,59.311285593815136,,
,7693.914,202005130507.0,1738446702243931.0,202005130507.0,17314453,1,SdF,Prins Eugens väg,SdF,SdF,17384467,202005130507.0,,1,17,Hundrastgård,18.11716785337176,59.32296730878404,,
2000.0,97.035,202005130506.0,1738443702243901.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384437,202005130505.0,,1,18,Hundrastgård,18.05951723440558,59.32081487835163,,
2013.0,470.729,202005130505.0,1738443102243895.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384431,202005130505.0,,1,19,Hundrastgård,18.03479587502826,59.34405675846397,,
,11187.952,202005130506.0,1738444302243907.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384443,202005130506.0,,1,20,Hundrastgård,18.039197778998208,59.250899134414006,,
,3669.868,202005130507.0,1738447402243938.0,202005130507.0,17314453,1,SdF,Hjorthagen,SdF,SdF,17384474,202005130507.0,,1,21,Hundrastgård,18.092425629768854,59.3554698481936,,
,3584.709,202502210505.0,1738442805263905.0,202005130505.0,17314453,1,SdF,,SdF,SdF,17384428,202005130505.0,,1,22,Hundrastgård,17.997475250966517,59.31229080050261,,
,571.277,202005130506.0,1738444002243904.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384440,202005130506.0,,1,23,Hundrastgård,17.916477190718133,59.41761865593495,,
2015.0,2317.913,202005130506.0,1738445502243919.0,202005130506.0,17314453,1,SdF,,SdF,SdF,17384455,202005130506.0,,1,24,Hundrastgård,18.018169934520184,59.33101732573524,,
,780.138,202401030505.0,2122741804563948.0,202401030505.0,17314453,1,SdF,,SdF,SdF,21227418,202401030505.0,,1,25,Hundrastgård,18.06659629026701,59.245544926361184,,
,870.605,202008120505.0,1761553302375948.0,202008120505.0,17314453,1,SdF,,SdF,SdF,17615533,202008120505.0,,1,26,Hundrastgård,18.06413144416951,59.26565334158154,,
,779.946,202111090505.0,1912889303136815.0,202111090505.0,17314453,1,SdF,-1,SdF,SdF,19128893,202111090505.0,,1,27,Hundrastgård,18.051391834538258,59.301733497666554,,
,642.999,202005130506.0,1738446402243928.0,202005130506.0,17314453,1,SdF,Hundrastgård vid Enskedefältets skola,SdF,SdF,17384464,202005130506.0,,1,28,Hundrastgård,18.068480737589557,59.28118609070627,,
2018.0,187.527,202005160505.0,1739005602247568.0,202005160505.0,17314453,1,SdF,,SdF,SdF,17390056,202005160505.0,,1,29,Hundrastgård,18.0558082483709,59.34191297282311,,
2022.0,705.351,202411120505.0,2036971005098886.0,202303180505.0,17314453,1,SdF,Hagsätraskogens hundrastgård,SdF,SdF,20369710,202303180505.0,,1,30,Hundrastgård,17.998774375002316,59.26576588048575,,
,487.719,202203180505.0,1738444203296698.0,202005130506.0,17314453,1,SdF,"HRG 3 Annedal, Dartanjangs gata 21X",SdF,SdF,17384442,202005130506.0,,1,31,Hundrastgård,17.94390633924286,59.36300320842707,,
